156	MRNA CLEAVAGE FACTOR COMPLEX (CFI)	CLP1 HRP1 PCF11 RNA14 RNA15
355	MONOPOLIN COMPLEX	LRS4 MAM1 CSM1 HRR25
379	UBIQUITIN LIGASE ERAD-L COMPLEX	USA1 DER1 YOS9 HRD1 HRD3
50	"ALPHA-1,6-MANNOSYLTRANSFERASE COMPLEX(ANP1P/MNN9P)"	ANP1 HOC1 MNN10 MNN11 MNN9
81	MITOCHONDRIAL SORTING AND ASSEMBLY MACHINERY COMPLEX	MDM10 SAM35 SAM37 SAM50
30	EEF1	CAM1 EFB1 TEF1 TEF2 TEF4
383	AP-3 ADAPTOR COMPLEX	APL5 APL6 APM3 APS3
13	SIGNAL RECOGNITION PARTICLE (SRP)	SEC65 SRP14 SRP21 SRP54 SRP68 SRP72
290	NDC80P COMPLEX	NUF2 SPC24 SPC25 TID3
267	RNA POLYMERASE I UPSTREAM ACTIVATING FACTOR COMPLEX	RRN10 RRN5 RRN9 UAF30 HHT1 HHF1
248	MITOCHONDRIAL INNER MEMBRANE PROTEIN INSERTION COMPLEX	MRS5 TIM18 TIM22 TIM54
301	DNA REPLICATION FACTOR C COMPLEX (ELG1P)	ELG1 RFC2 RFC3 RFC4 RFC5
84	RETROMER COMPLEX	PEP8 VPS17 VPS29 VPS35 VPS5
209	DSL1P COMPLEX	DSL1 TIP20 SEC20 SEC39 USE1 UFE1
318	RPD3S COMPLEX	EAF3 RCO1 RPD3 SIN3 UME1
89	NPA2P-CONTAINING SUBCOMPLEX	DBP6 NOP8 RSA3 URB1 URB2
352	GPI-ANCHOR TRANSAMIDASE COMPLEX	GAA1 GAB1 GPI16 GPI17 GPI8
367	AP-1 ADAPTOR COMPLEX	APL2 APL4 APM1 APM2 APS1
251	CORVET COMPLEX	PEP3 PEP5 VPS3 VPS16 VPS33 VPS8
285	NUA3 HISTONE ACETYLTRANSFERASE COMPLEX	EAF6 SAS3 TAF14 YNG1 NTO1
22	PROTEIN KINASE CK2 COMPLEX	CKA1 CKA2 CKB1 CKB2
340	HOPS COMPLEX	PEP3 PEP5 VAM6 VPS16 VPS33 VPS41
328	TORC 1 COMPLEX	KOG1 LST8 TCO89 TOR1
95	SF3B COMPLEX	YSF3 CUS1 HSH155 HSH49 RDS3 RSE1
324	NUP84P COMPLEX	NUP84 NUP85 NUP120 NUP145 SEC13 SEH1
129	CYTOPLASMIC DYNEIN COMPLEX	DYN1 DYN2 DYN3 PAC11
320	PHOSPHATIDYLINOSITOL (PTDINS) 3-KINASE COMPLEX (FUNCTIONS IN AUTOPHAGY)	ATG14 VPS15 VPS30 VPS34
237	AP-2 ADAPTOR COMPLEX	APL1 APL3 APM4 APS2
302	UTP B COMPLEX	DIP2 PWP2 UTP6 UTP13 UTP18 UTP21
380	SCF-CDC4 COMPLEX	CDC34 CDC4 CDC53 SGT1 SKP1
371	HIR COMPLEX	HIR1 HIR2 HIR3 HPC2
357	ORIGIN RECOGNITION COMPLEX	ORC1 ORC2 ORC3 ORC4 ORC5 ORC6
16	PHOSPHATIDYLINOSITOL (PTDINS) 3-KINASE COMPLEX (FUNCTIONS IN CPY SORTING)	VPS15 VPS30 VPS34 VPS38
59	CBF3 COMPLEX	CBF2 CEP3 CTF13 SKP1
113	SUCCINATE DEHYDROGENASE COMPLEX (COMPLEX II)	SDH1 SDH2 SDH3 SDH4
238	UTP C COMPLEX	RRP7 UTP22 CKA1 CKA2 CKB1 CKB2
217	SYNAPTONEMAL COMPLEX (SC)	HOP1 RED1 ZIP1 ZIP2
295	CHS5P/ARF-1BINDING PROTEINS (CHAPS)	ARF1 BCH1 BCH2 BUD7 CHS5 CHS6
293	EIF2B	GCD1 GCD2 GCD6 GCD7 GCN3
229	NUCLEAR COHESIN COMPLEX	IRR1 MCD1 REC8 SMC1 SMC3
9	TRANSCRIPTION FACTOR TFIIIC COMPLEX	TFC1 TFC3 TFC4 TFC6 TFC7 TFC8
259	DNA REPLICATION FACTOR C COMPLEX (RCF1P)	RFC1 RFC2 RFC3 RFC4 RFC5
77	GINS COMPLEX	PSF1 PSF2 PSF3 SLD5
205	ELONGATOR COMPLEX	ELP2 ELP3 ELP4 ELP6 IKI1 IKI3
168	CDC24P/FAR1P/GBETAGAMMA PROTEIN COMPLEX	CDC24 FAR1 STE18 STE4
315	ESCRT III COMPLEX	DID4 SNF7 VPS20 VPS24
140	SEC62P/SEC63P COMPLEX	SEC62 SEC63 SEC66 SEC72
207	NSP1P COMPLEX	NSP1 NIC96 NUP49 NUP57
164	MITOTIC CHECKPOINT COMPLEX	BUB3 CDC20 MAD2 MAD3
280	ADA2P/GCN5P/ADA3 TRANSCRIPTION ACTIVATOR COMPLEX	ADA2 AHC1 GCN5 HFI1 NGG1
